what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1297429109583
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1297429109583
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1297429109583
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1297429109583
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1297429109583
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1297429109583
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1297429109583
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1297429109583
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1297429109583
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1297429109583
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1297429109583
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1297429109583
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1297429109583
os,sysinfo,,,"win32",1297429109599
arch,sysinfo,,,"x86",1297429109599
ws,sysinfo,,,"win32",1297429109599
locale,sysinfo,,,"en_US",1297429109599
processors,sysinfo,,,"2",1297429109599
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1297429109599
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1297429109599
java.specification.name,sysinfo,,,"Java Platform API Specification",1297429109599
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297429109599
java.specification.version,sysinfo,,,"1.6",1297429109599
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1297429109599
java.version,sysinfo,,,"1.6.0_20",1297429109599
java.vm.info,sysinfo,,,"mixed mode",1297429109599
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1297429109599
