what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1300678301086
started,bundle,org.eclipse.wst.common.project.facet.ui,1.3.2.v200809022055,org.eclipse.wst.common.project.facet.ui,1300678307055
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1300678310133
started,bundle,org.eclipse.birt.report.debug.ui,2.3.2.r232_20090202,org.eclipse.birt.report.debug.ui,1300678310180
started,bundle,org.eclipse.jst.common.project.facet.ui,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.ui,1300678314961
started,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1300678318039
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1300678318039
started,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1300678318039
started,bundle,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.ui,1300678318039
started,bundle,org.eclipse.jst.jsp.core,1.2.121.v200901290830,org.eclipse.jst.jsp.core,1300678318071
started,bundle,org.eclipse.wst.wsdl.validation,1.1.302.v200807240215,org.eclipse.wst.wsdl.validation,1300678318086
started,bundle,org.eclipse.wst.xsd.core,1.1.302.v200810020300,org.eclipse.wst.xsd.core,1300678318086
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1300678324274
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1300678324320
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1300678328039
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1300678335555
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1300678336820
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1300678338055
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1300678338102
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090217-1800-e3x,org.eclipse.mylyn.pde.ui,1300678338305
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1300678338305
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1300678338305
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1300678338305
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1300678338305
stopped,bundle,org.eclipse.birt.report.debug.ui,2.3.2.r232_20090202,org.eclipse.birt.report.debug.ui,1300678338305
